student_id,full_name,email,phone,gender,nationality,date_of_birth,program,academic_year,high_school_average,credit_hours,base_fee_per_credit_aed,discount_percent,base_tuition_aed,discount_amount_aed,final_tuition_aed,enrollment_fee_aed,registration_fee_aed,activity_fee_aed,transport_fee_aed,distance_learning_fee_aed,total_fees_aed,amount_paid_aed,balance_aed,payment_status,transaction_id,receipt_number,payment_date,currency
20257373,Omar Waleed Sami Tawfiq,omar.tawfiq7373@university.ae,+971 57 445 2989,Male,Palestinian,3/4/2004,Financial Technology & Risk Management,3,89.27,17,517,50,8789,4395,4395,517,1009,156,0,104,6179,5107,1072,PARTIAL,TX-103489,RCP-41398,9/17/2025,AED
20275596,Laila Hadi Samir Al-Rashid,laila.al-rashid5596@university.ae,+971 59 923 2415,Female,Jordanian,12/1/2004,Physiotherapy,5,76.84,14,517,40,7238,2896,4343,517,1009,156,311,104,6437,6437,0,PAID,TX-506722,RCP-34811,1/18/2026,AED
20218314,Nabil Haitham Ibrahim Al-Omari,nabil.al-omari8314@university.ae,+971 53 735 8920,Male,Jordanian,4/6/2002,Digital Media Design,5,80.94,15,543,50,8143,4072,4072,517,1009,156,0,104,5856,5856,0,PAID,TX-508187,RCP-66675,9/27/2025,AED
20286854,Fadi Nasser Hassan Karam,fadi.karam6854@university.ae,+971 50 684 6823,Male,Lebanese,8/7/2008,Business Administration,4,67.92,16,492,40,7859,3144,4716,517,1009,156,0,0,6396,6396,0,PAID,TX-486789,RCP-36098,9/11/2025,AED
20212244,Tamer Hamza Hamza Al-Omari,tamer.al-omari2244@university.ae,+971 50 905 6194,Female,Syrian,2/20/2003,Renewable Energy Technology,1,92.63,12,414,60,4964,2978,1986,517,1009,156,0,104,3769,3769,0,PAID,TX-596427,RCP-74794,1/20/2026,AED
20242248,Haitham Adel Ibrahim Al-Masri,haitham.al-masri2248@university.ae,+971 56 176 9699,Female,Jordanian,5/11/2006,Robotics & AI Engineering,3,73.98,12,647,50,7755,3878,3878,517,1009,156,0,0,5558,5558,0,PAID,TX-243570,RCP-43853,12/7/2025,AED
20257682,Maya Zaki Nasser Jaber,maya.jaber7682@university.ae,+971 54 886 6468,Male,Jordanian,2/4/2003,Law,4,99.33,14,337,50,4705,2353,2353,517,1009,156,0,104,4136,0,4136,PENDING,TX-732193,RCP-88583,9/26/2025,AED
20251721,Mazen Zaid Nasser Zakaria,mazen.zakaria1721@university.ae,+971 59 991 9946,Male,Jordanian,12/18/2007,Marketing,5,80.21,18,492,60,8841,5305,3537,517,1009,156,259,104,5579,5579,0,PAID,TX-982342,RCP-82116,1/17/2026,AED
20248955,Rana Salem Waleed Barakat,rana.barakat8955@university.ae,+971 50 580 6916,Female,Jordanian,2/16/2008,Power & Renewable Energy Engineering,1,70.78,12,673,50,8066,4033,4033,517,1009,156,0,0,5713,5713,0,PAID,TX-243541,RCP-19010,9/25/2025,AED
20263213,Jamal Rashid Mohammad Daher,jamal.daher3213@university.ae,+971 50 581 4578,Male,Jordanian,11/26/2007,Nursing,5,92.18,18,414,40,7445,2978,4467,517,1009,156,0,0,6148,6148,0,PAID,TX-779986,RCP-84581,2/27/2026,AED
20226601,Maha Ahmad Jamal Yasin,maha.yasin6601@university.ae,+971 56 297 9647,Male,Syrian,10/22/2005,Computer Science,2,77.82,16,466,35,7445,2606,4840,517,1009,156,0,104,6623,6623,0,PAID,TX-349468,RCP-17781,12/20/2025,AED
20248365,Mahmoud Tariq Omar Tawfiq,mahmoud.tawfiq8365@university.ae,+971 59 609 1023,Female,Jordanian,5/21/2002,Nursing,4,76.95,16,414,40,6618,2648,3971,517,1009,156,0,0,5651,5651,0,PAID,TX-997727,RCP-26337,2/28/2026,AED
20225022,Fatima Mohammad Ibrahim Saleh,fatima.saleh5022@university.ae,+971 52 323 5530,Female,Jordanian,11/13/2007,Digital Marketing,2,63.99,16,517,30,8272,2482,5791,517,1009,156,259,104,7833,7833,0,PAID,TX-342069,RCP-42767,9/12/2025,AED
20224760,Yasmin Ammar Sami Shahin,yasmin.shahin4760@university.ae,+971 56 775 9501,Male,Syrian,6/14/2003,Mathematics,1,70.2,15,311,40,4653,1862,2792,517,1009,156,311,104,4886,4886,0,PAID,TX-254127,RCP-94929,10/2/2025,AED
20299170,Maha Hamza Fadi Zgheib,maha.zgheib9170@university.ae,+971 52 162 1976,Female,Jordanian,7/15/2008,Accounting,2,79,18,517,45,9306,4188,5119,517,1009,156,621,0,7419,0,7419,PENDING,TX-558700,RCP-16413,11/4/2025,AED
20270128,Reem Hadi Mahmoud Hayek,reem.hayek0128@university.ae,+971 55 410 4675,Female,Jordanian,10/15/2007,Mathematics,3,84.19,13,311,50,4033,2017,2017,517,1009,156,0,0,3697,3697,0,PAID,TX-906411,RCP-11804,12/31/2025,AED
20268896,Waleed Rashid Marwan Kanaan,waleed.kanaan8896@university.ae,+971 58 757 3370,Male,Syrian,4/18/2002,AI in Accounting & Auditing,4,83.18,15,569,40,8531,3413,5119,517,1009,156,621,104,7523,7523,0,PAID,TX-345808,RCP-94570,1/3/2026,AED
